"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"NERC","NE/M020061/1","Met Office","Government Business","Research Grant","Jones","Richard","Graham","",,,,"","Future Resilience for African CiTies And Lands (FRACTAL)","31/05/2015","29/06/2021","502068",,,"Closed","Climate & Climate Change","Environmental Geography","Regional & Extreme Weather","Spatial Planning","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M020061/1","D27ACFC6-1C59-4039-BF01-BC861A6B5490","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","EB68FB1A-FD15-4CC9-9219-7C541C7E0405","E3DADB7B-C643-4715-A84D-D10555979466"
"NERC","NE/M020320/1","Red Cross Red Crescent Climate Centre","Innovation & Research","Research Grant","Suarez","Pablo","","",,,,"","Future Resilience for African CiTies And Lands (FRACTAL)","31/05/2015","30/03/2021","207421",,,"Closed","Climate & Climate Change","Environmental Geography","Regional & Extreme Weather","Spatial Planning","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M020320/1","FD50AE50-508A-411A-BACE-1A6E7C3D4ABE","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4F7D9A6B-10C0-4096-BB61-9E5653C5DC36","A62D85AC-0A07-446D-98DB-5158CA9A133B"
"NERC","NE/N005368/1","NERC British Geological Survey","Geology & Regional Geophysics","Fellowship","Bonsor","Helen","","",,,,"","Integrating subsurface environmental data and knowledge into city planning","17/09/2015","16/09/2018","100653",,,"Closed","Earth Resources","Environmental economics","Urban & Land Management","Urban Design","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N005368/1","7730A422-C9DF-4982-8C52-29EF55CDD9AE","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","7ADE0AB2-1050-4241-987D-F3B1C3322E05","3260E7CA-EEFC-461F-8BCD-82DE66C70747"
"NERC","NE/M021548/1","Imperial College London","The Centre for Environmental Policy","Research Grant","Woods","Jeremy","","http://orcid.org/0000-0002-1542-8144",,,,"","Food Security and Land Use: The Telecoupling Challenge","01/02/2015","31/12/2020","55437",,,"Closed","Conservation Ecology","Geography and Development","Newton","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M021548/1","DB7BB233-4A4B-46CE-9DED-318335B4AD48","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","46387D84-F71E-4B7D-8C7D-9C288F113510","D908D3D9-552C-4BFA-8BEC-E58F6D726062"
"NERC","NE/N016971/1","University of the West of England","Faculty of Environment and Technology","Research Grant","Sinnett","Danielle","","",,,,"","A national benchmark for green infrastructure","01/01/2016","28/02/2017","61668",,,"Closed","Ecosystem Scale Processes","Landscape  Architecture","Spatial Planning","Urban & Land Management","Urban Design",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N016971/1","FD795AFD-DCAB-43E3-8D32-0E18B171B075","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2A80FFDA-3B8B-43BA-80C3-3AA850B49BA1","F9B686FE-521B-4389-AAFF-FDFAC1280E7A"
"NERC","NE/T004150/1","University of Surrey","Civil and Environmental Engineering","Research Grant","Hagen-Zanker","Alex","Hidde","",,,,"","A Bayesian approach to complex land use change modelling","30/09/2019","30/07/2020","50070",,,"Closed","Environmental Informatics","Spatial Planning","Statistics & Appl. Probability","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/T004150/1","663DE2AC-F7DB-41AB-9C3E-3BAD00498602","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","67B34D05-3A52-4A09-8FF9-F2398D60E246","C31A4153-5E89-4C59-9044-FF048ABA27BB"
"NERC","NE/S004920/1","Cranfield University","School of Water, Energy and Environment","Research Grant","Otten","Wilfred","","",,,,"","FUSED-Functionality of Urban Soils supporting Ecosystem service Delivery","13/02/2019","31/12/2022","364606",,,"Active","Community Ecology","Environmental Microbiology","Pollution","Soil science","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S004920/1","6DEA3E43-3FA9-4DA5-935A-5FA81EE554C0","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","897B992E-3296-4359-A0C4-85FE1276F239"
"NERC","NE/M020088/1","Swedish Meteorological & Hydrology Insti","Rossby Centre","Research Grant","Nikulin","Grigory","","",,,,"","Future Resilience for African CiTies And Lands (FRACTAL)","31/05/2015","30/05/2019","618218",,,"Closed","Climate & Climate Change","Environmental Geography","Regional & Extreme Weather","Spatial Planning","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M020088/1","5114F189-A5FD-4A05-900C-8ACF8A7FCF2A","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","649BD59B-FC66-48BA-9215-292A67782E60","E335EB01-6669-42D5-A7E6-9ABA763E44D5"
"NERC","NE/M020355/1","SEI Oxford Office Ltd","Research","Research Grant","Bharwani","Sukaina","","",,,,"","Future Resilience for African CiTies And Lands (FRACTAL)","31/05/2015","30/03/2021","217852",,,"Closed","Climate & Climate Change","Environmental Geography","Regional & Extreme Weather","Spatial Planning","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M020355/1","BDC350BE-0EFF-4830-A0CE-6C8293FE77DB","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","104C9D71-D2B9-4DD3-9F24-229634DCBAC0","D52CE165-AB8C-432B-BE94-ACD2E22D1433"
"NERC","NE/L008726/1","University of Southampton","School of Social Sciences","Research Grant","Matthews","Zoe","","",,,,"","Belmont Forum Deltas","01/01/2014","31/12/2017","309217",,,"Closed","Climate & Climate Change","Coastal & Waterway Engineering","Earth & environmental","Economic Geography","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L008726/1","909FA1E7-264C-499E-8863-B5342884AA8E","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","30A429E3-83B7-4E41-99C0-14A144F07DFE","FB9FD121-CEE7-41C1-B2D1-337DCB76F799"
"NERC","NE/N017935/1","University College London","Civil Environmental and Geomatic Eng","Research Grant","Tyler","Nick","","",,,,"","Using data to compare the health impact of mobility infrastructure in cities (just what the doctor ordered)","01/11/2015","30/03/2016","24958",,,"Closed","Transport Ops & Management","Urban & Land Management","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N017935/1","1F260986-1EF3-4DDF-AB1D-9129B2104FE8","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","3A5E126D-C175-4730-9B7B-E6D8CF447F83","3288AE37-3E28-4698-ACBD-280A555E4EB7"
"NERC","NE/P018637/1","University of Reading","Meteorology","Fellowship","Sun","Ting","","http://orcid.org/0000-0002-2486-6146",,,,"","Building Resilient Cities for Heat Waves","30/06/2017","30/11/2022","455689",,,"Active","Boundary Layer Meteorology","Urban & Land Management","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P018637/1","03345995-1827-4AF0-84C5-A0395E911D49","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","E89C3602-0FB4-4044-A918-58966B8A10B2","EA770B4C-41BE-4122-B9A0-518F15D32825"
"NERC","NE/M021343/1","University of Edinburgh","Science  Technology & Innovation Studies","Research Grant","Yearley","Steven","","http://orcid.org/0000-0002-1054-4592",,,,"","Food Security and Land Use: The Telecoupling Challenge","01/02/2015","31/12/2020","62152",,,"Closed","Conservation Ecology","Geography and Development","Newton","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M021343/1","6D7AD2A0-6598-4BF9-B8D5-E7E73E3F7D2E","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D60DBD0A-D439-447C-AC3A-95A06D643D87"
"NERC","NE/S005560/1","University of Essex","Life Sciences","Research Grant","Dumbrell","Alexander","Joseph","",,,,"","FUSED - Functionality of Urban Soils supporting Ecosystem service Delivery","13/02/2019","31/12/2022","1055502",,,"Active","Community Ecology","Environmental Microbiology","Pollution","Soil science","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S005560/1","3C36D552-8154-4E26-A288-D72BC13BAC80","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","ED6A6B32-663C-4A62-A33B-2C6A68E2E102","0A33529C-3E4C-41DE-8FB8-095B4C10FEB7"
"NERC","NE/P01254X/1","University of Oxford","Environmental Change Institute SoGE","Fellowship","Smith","Alison","","",,,,"","EKN Tool Assessor: Facilitating the application of innovative tools in the assessment of ecosystem services, green infrastructure and natural capital","01/11/2016","31/10/2017","23759",,,"Closed","Conservation Ecology","Ecosystem Scale Processes","Landscape  Architecture","Spatial Planning","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P01254X/1","535158FF-CB52-4E7B-A776-F75F573993C4","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","3D9D739D-9F43-4643-89D7-DE7A4F953E17"
"NERC","NE/S003495/1","Imperial College London","Civil & Environmental Engineering","Research Grant","Butler","Adrian","","http://orcid.org/0000-0001-9125-6105",,,,"","Community Water Management for a Liveable London (CAMELLIA)","30/09/2018","29/09/2023","4129082",,,"Active","Environmental Informatics","Hydrogeology","Hydrological Processes","Urban & Land Management","Water Engineering",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S003495/1","EB286A9F-A97C-4B9F-8D56-E394A46EFBCB","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","46387D84-F71E-4B7D-8C7D-9C288F113510","913DFD8E-AD6B-4DF4-8358-B67D3F109917"
"NERC","NE/R01440X/2","University College London","Bartlett Sch of Env, Energy & Resources","Fellowship","Heaviside","Clare","","http://orcid.org/0000-0002-0263-4985",,,,"","Human health in an increasingly urbanized and warming world","31/03/2020","29/09/2023","410048",,,"Active","Boundary Layer Meteorology","Climate & Climate Change","Environment & Health","Regional & Extreme Weather","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R01440X/2","F4A30F4D-7C69-4412-9638-2174F47486E3","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","3A5E126D-C175-4730-9B7B-E6D8CF447F83","28F78CB9-2778-4500-8D7D-00C88F682DDE"
"NERC","NE/M02055X/1","ICLEI - Local Govts for Sustainability","Research","Research Grant","Spires","Meggan","","",,,,"","Future Resilience for African CiTies and Lands (FRACTAL)","31/05/2015","29/06/2021","211596",,,"Closed","Climate & Climate Change","Environmental Geography","Regional & Extreme Weather","Spatial Planning","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M02055X/1","29EC6CC0-282C-4FD9-A462-0B0FC1B3822A","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","C65C0654-2280-4FA3-A596-A1CE955FDFDE","E0076808-E692-4676-A0A1-8EEB51872CE5"
"NERC","NE/N017587/1","University of Birmingham","Sch of Geography, Earth & Env Sciences","Research Grant","Sadler","Jon","","http://orcid.org/0000-0003-0443-4458",,,,"","Injecting a Natural Capital Planning Tool into Green-Blue Infrastructure Management","01/03/2016","28/02/2018","99508",,,"Closed","Environmental planning","Spatial Planning","Urban & Land Management","Urban Design","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N017587/1","FCADC550-FA90-4A6A-87E5-602B81D31030","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","DBC43164-53A8-4AF5-A9B0-7E4C737A80D6"
"NERC","NE/K002317/1","NERC Centre for Ecology and Hydrology","Rees","Research Grant","Hutchins","Michael","George","",,,,"","Changes in urbanisation and its effects on water quantity and quality from local to regional scale","30/04/2013","31/12/2016","423476",,,"Closed","Hydrological Processes","Soil science","Urban & Land Management","Water Quality","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K002317/1","84E1CDEA-30F3-4DA2-A8F6-5F585988C143","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4FC881BE-799E-459C-A287-2A68170426DA","9DD27950-9A32-4FBC-B5D9-7CFF3B54FD36"
"NERC","NE/P018890/1","Cranfield University","School of Water, Energy and Environment","Research Grant","Rivas Casado","Monica","","http://orcid.org/0000-0002-4169-3099",,,,"","Exploring the use of drones for catastrophe situation reporting and damage assessment","01/02/2017","30/05/2017","9640",,,"Closed","Robotics & Autonomy","Survey & Monitoring","Urban & Land Management","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P018890/1","5C12957A-C853-4828-BC49-870EC1F78171","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","5F50CB00-1241-4F66-A719-4FB1EE6E7269"
"NERC","NE/M021335/1","King's College London","Geography","Research Grant","Millington","James","David","",,,,"","Food Security and Land Use: The Telecoupling Challenge","01/02/2015","31/12/2020","140984",,,"Closed","Conservation Ecology","Geography and Development","Newton","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M021335/1","E7286C52-CC0F-4BDD-B127-C9DC46981E21","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","318B5D98-4CB4-4B10-A876-08FC93071A56","1421CB30-DAB3-4640-AD66-B269DC49AAC9"
"NERC","NE/R009236/1","University of Glasgow","School of Geographical & Earth Sciences","Research Grant","Naylor","Larissa","","",,,,"","Integrated Green Grey Infrastructure Framework Accelerator","30/04/2018","30/08/2020","111685",,,"Closed","Conservation Ecology","Land - Ocean Interactions","Social Policy","Urban & Land Management","Urban Design",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R009236/1","6286D6F7-50E5-4119-A519-DB2828A83781","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","AE58F21F-3622-4382-97BB-1359BD183E9F","D635A3CF-2BB1-4527-B410-B448C2CB7A00"
"NERC","NE/N00728X/1","University of Oxford","Oxford Internet Institute","Research Grant","Bright","Jonathan","","",,,,"","Innovate UK: NEXUS - Real Time data fusion and Network Analysis for Urban Systems","31/08/2015","30/08/2017","275263",,,"Closed","Urban & Land Management","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N00728X/1","49E5018C-8F28-4C2F-80FF-9CB31F13B1C6","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","54450C90-E218-4B31-BA1E-875E3F8AF467"
"NERC","NE/N007328/1","University of Exeter","Geography","Research Grant","Barr","Stewart","","",,,,"","Innovate UK Engaged Smart Transport (EST)","01/11/2015","30/11/2017","292229",,,"Closed","Analytical Science","Regional & Extreme Weather","Transport Ops & Management","Urban & Land Management","Urban Design",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N007328/1","BC754946-57A9-4243-B3E3-EE954BEAAB25","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","961756BF-E31F-4A13-836F-0A09BA02385C","CA6C9341-27A0-4CED-9CAD-B8BF25154282"
"NERC","NE/S013814/1","University of Birmingham","Sch of Geography, Earth & Env Sciences","Research Grant","MacKenzie","A.","Robert","http://orcid.org/0000-0002-8227-742X",,,,"","&quot;UK&quot; Green Infrastructure for roadside air quality mitigation: unblocking a UK policy impasse","31/03/2019","30/11/2020","120674",,,"Closed","Environment & Health","Landscape  Architecture","Survey & Monitoring","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S013814/1","3F0D8435-ED02-4945-8D2A-F38849B43D5F","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","421E8E39-AB69-422D-AC25-9DFE3BBDE282"
