"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Description","Further Funding Org","Further Funding Dept","Sector","Country","Currency","Amount","Fund Start Date","Fund End Date","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/I02929X/1","Research Grant","Further Funding","University College London","Bartlett Sch of Env, Energy & Resources","Davies","Michael","","Sustainable Gas Futures","Natural Environment Research Council",,"Public","United Kingdom","GBP","225055.0","03/2016","03/2019","58c0458ee5dc93.64160913","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=58c0458ee5dc93.64160913&grantRef=EP%2FI02929X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I02929X/1","A87108EB-BA73-4E5F-8324-1D121FB7B9DC","798CB33D-C79E-4578-83F2-72606407192C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","430BA9CF-AD1E-48CF-86FF-B1669D3B5FC7"
"EPSRC","EP/F020546/1","Research Grant","Further Funding","University of Bath","Chemistry","Edler","Karen","http://orcid.org/0000-0001-5822-0127","Sustainable Materials and Products","Innovate UK",,"Public","United Kingdom","GBP","837414.0","08/2009","12/2011","5460f505a86ee2.80522491","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5460f505a86ee2.80522491&grantRef=EP%2FF020546%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F020546/1","EC285D12-BEAC-46F9-A11F-22811A818530","798CB33D-C79E-4578-83F2-72606407192C","EAAD4D43-BD15-432B-9385-2DBD0C65958D","BBD5D94D-6BA6-47B2-B89D-404CFF799270"
"ESRC","ES/S007164/1","Research Grant","Further Funding","University of Leeds","Sch of Geography","Birkin","Mark","http://orcid.org/0000-0001-5991-098X","Healthy and Sustainable Diets","Institute of Grocery Distribution",,"Charity/Non Profit","United Kingdom","GBP","137000.0","01/2022","12/2022","6231ce9ad8e622.06438568","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=6231ce9ad8e622.06438568&grantRef=ES%2FS007164%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S007164/1","C0B9C93F-3F13-4D0D-9FC8-5C33F5C8AA27","924BE15C-91F2-4AAD-941A-3F338324B6AE","83D87776-5958-42AE-889D-B8AECF16B468","D4AE7D17-3B13-4E3A-A496-5EEE0C617947"
"EPSRC","EP/P026095/2","Research Grant","Further Funding","University of Manchester","Materials","Shaver","Michael","http://orcid.org/0000-0002-7152-6750","Sustainable Mastercards / Circular Mastercards","Mastercard UK",,"Public","United Kingdom","GBP","330000.0","01/2021","12/2023","62137e1288fb17.07286752","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=62137e1288fb17.07286752&grantRef=EP%2FP026095%2F2","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P026095/2","6504B8C8-B2B3-41D5-BC0A-6B063A06460E","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","336DE53D-CF4F-4AA2-9B22-A80E46A8A764"
"EPSRC","EP/J01432X/1","Research Grant","Further Funding","University College London","Chemistry","Sheppard","Tom","http://orcid.org/0000-0002-3455-1164","EPSRC Sustainable Chemical Feedstocks","Engineering and Physical Sciences Research Council (EPSRC)",,"Public","United Kingdom","GBP","2426238.0","08/2013","09/2016","54633a5e4a2846.28457820","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=54633a5e4a2846.28457820&grantRef=EP%2FJ01432X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J01432X/1","56478CD0-C079-4A8E-9A04-5571616721F9","798CB33D-C79E-4578-83F2-72606407192C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","86656E2C-1847-41FF-AC54-BAF47BDF5461"
"EPSRC","EP/P025021/1","Research Grant","Further Funding","University of Manchester","Engineering and Physical Sciences","Schroder","Martin","","Sustainable Materials Innovation Hub","University of Manchester",,"Academic/University","United Kingdom","GBP","4954000.0","06/2020","06/2023","602a537b640098.93798128","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=602a537b640098.93798128&grantRef=EP%2FP025021%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P025021/1","E215CFEE-4445-4EA4-BBC6-CA3DC2353204","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","320A9E84-D5A3-4BDD-9BAB-9BEC4AAB40E4"
"EPSRC","EP/I033351/1","Research Grant","Further Funding","University of Cambridge","Engineering","Evans","Steve","","Sustainable Apparel Programme","ASICS","ASICS Europe","Private","Netherlands","GBP","12967.0","12/2012","05/2013","545cceece1f5d3.85751829","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=545cceece1f5d3.85751829&grantRef=EP%2FI033351%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I033351/1","55AB8CA6-FEC5-48D1-B3D8-13ED830934CC","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","68F9AC3F-225C-4FAD-A645-C2F5A9BBB85A"
"NERC","NE/V010549/1","Research Grant","Further Funding","University of Manchester","Materials","Shaver","Michael","http://orcid.org/0000-0002-7152-6750","Sustainable Mastercards / Circular Mastercards","Mastercard UK",,"Public","United Kingdom","GBP","330000.0","01/2021","12/2023","62137e1288fb17.07286752","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=62137e1288fb17.07286752&grantRef=NE%2FV010549%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/V010549/1","57449436-D258-409D-B512-0F7664745707","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","68D0E3C9-9246-4CFC-B5E9-48584CF82993","336DE53D-CF4F-4AA2-9B22-A80E46A8A764"
"EPSRC","EP/E024904/1","Research Grant","Further Funding","University of Bath","Chemistry","Edler","Karen","http://orcid.org/0000-0001-5822-0127","Sustainable Materials and Products","Innovate UK",,"Public","United Kingdom","GBP","837414.0","08/2009","12/2011","5460f505a86ee2.80522491","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5460f505a86ee2.80522491&grantRef=EP%2FE024904%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E024904/1","C2B3AB32-84EB-4955-B242-2EF9E65D56D3","798CB33D-C79E-4578-83F2-72606407192C","EAAD4D43-BD15-432B-9385-2DBD0C65958D","BBD5D94D-6BA6-47B2-B89D-404CFF799270"
"EPSRC","EP/R027218/1","Research Grant","Further Funding","Cranfield University","Sch of Aerospace, Transport & Manufact","Williams","Stewart","","Sustainable Additive Manufacture - SAM","Engineering and Physical Sciences Research Council (EPSRC)",,"Public","United Kingdom","GBP","1638781.0","05/2022","05/2025","622f95a6162333.18112610","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=622f95a6162333.18112610&grantRef=EP%2FR027218%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R027218/1","6ED3174D-9F7C-4853-AA2D-4374BD2DF3F4","798CB33D-C79E-4578-83F2-72606407192C","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","2A7DE9BD-1BEA-418A-AC75-7CE99479ACB7"
