"Funding OrgName","ProjectReference.x","ProjectCategory.x","Outcome Type","LeadRO Name","Department.x","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Art","Year Produced","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl.x","ProjectId","FundingOrgId.x","LeadROId.x","PIId.x","Collaboration Name","Parent Org","Parent Org Dept","Sector","Country","PI Contribution","Partner Contribution","Year Collaboration Started","Form of Engagement Activity","Part of Official Scheme?","Type of Presentation","Geographical Reach","Primary Audience","Years(s)","Results/Impact","Further Funding Org","Further Funding Dept","Currency","Amount","Fund Start Date","Fund End Date","Impact Types","Year","Protection","IP Reference","Year Protection Granted","Licensed?","Exploitation Route","Sectors","URL","Influence","Type of Influence","Guideline Title","Geographic Reach","Type","Current Stage of Development","Clinical Trial?","UKCRN/ISCTN ID","Year Development Stage Completed","Development Status","Type of Material","Provided to Others?","Software Developed?","Software Open Source?","Type of Technology","Software Open Sourced?","Company Name","Year Established","FundingOrgName","ProjectReference.y","LeadROName","Department.y","ProjectCategory.y","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl.y","FundingOrgId.y","LeadROId.y","PIId.y","School","College"
"NERC","NE/K002619/1","Research Grant","Engagement Activities","University of Edinburgh","Sch of Geosciences","Williams","Mathew","http://orcid.org/0000-0001-6117-5208",NA,"Greenhouse Gas Townhall Meeting",NA,NA,NA,"http://www.greenhouse-gases.org.uk/events/stakeholder-meeting-12-march-2014","56bc8220a01667.90610077","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=56bc8220a01667.90610077&grantRef=NE%2FK002619%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K002619/1","4D6BF013-631B-4B24-ABB6-9AC8CF1C4F93","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B5BB39B9-0CFA-4514-8973-73C327F59EFE",NA,NA,NA,NA,NA,NA,NA,NA,"A formal working group, expert panel or dialogue","No",NA,"National","Professional Practitioners","'2015'","The Greenhouse Gas (GHG) Emissions and Feedback Programme organised a 'Greenhouse Gas Townhall Meeting' at the National Oceanography Centre in Southampton on 7th-8th January 2015.

We organised this meeting for the UK GHG scientific community to exchange ideas and identify concrete key needs for future greenhouse gas research in the UK, and to explore opportunities and developments in related national and international activities like ICOS.

The meeting combined open science sessions with networking, workshops and breakout discussions as first steps towards developing community documents that can be submitted to the NERC SPAG and other relevant agencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/K002619/1","University of Edinburgh","Sch of Geosciences","Research Grant","Williams","Mathew",NA,"http://orcid.org/0000-0001-6117-5208",NA,NA,NA,NA,"Generating Regional Emissions Estimates with a Novel Hierarchy of Observations and Upscaled Simulation Experiments (GREENHOUSE)","31/03/2013","29/09/2017",1190027,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K002619/1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B5BB39B9-0CFA-4514-8973-73C327F59EFE","School of Geosciences","College of Science and Engineering"
"NERC","NE/G015163/1","Fellowship","Engagement Activities","University of Edinburgh","Sch of Geosciences","Gilfillan","Stuart",NA,NA,"Invited Speaker at British Science Association and EDSci Edinburgh meeting",NA,NA,NA,"http://edinburghbsa.weebly.com/lecture-series.html","56dda9c066b5e7.13978970","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=56dda9c066b5e7.13978970&grantRef=NE%2FG015163%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/G015163/1","999F14D0-2475-420E-B8D5-9F824888DE0D","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","A117F0F0-E2EE-4D31-9C10-6BE4EE8936EA",NA,NA,NA,NA,NA,NA,NA,NA,"A talk or presentation","No",NA,"Local","Public/other audiences","'2015'","Invited Speaker at British Science Association and EDSci Edinburgh meeting where I presented a talk entitled &quot;Engineering Clean Fossil Fuels for a Decarbonised Future&quot;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/G015163/1","University of Edinburgh","Sch of Geosciences","Fellowship","Gilfillan","Stuart","Matthew",NA,NA,NA,NA,NA,"Investigating the role of natural tracers in subsurface CO2 storage and monitoring","30/06/2009","29/06/2012",284711,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/G015163/1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","A117F0F0-E2EE-4D31-9C10-6BE4EE8936EA","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/K037404/1","Research Grant","Engagement Activities","University of Edinburgh","Edinburgh College of Art","Ward Thompson","Catharine",NA,NA,"Linking Landscape Planning and Health - green space and quality of life - Catharine Ward Thompson",NA,NA,NA,"http://www1.wdr.de/mediathek/audio/wdr5/wdr5-leonardo-top-themen/audio-europaeische-tagung-in-bonn--gruenflaechen-halten-menschen-gesund-100.html","5a9ec27a553361.22104188","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=5a9ec27a553361.22104188&grantRef=EP%2FK037404%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K037404/1","17B5E480-CC10-417E-9532-7A5136A048F1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","3E3E42C4-8B36-476B-8DA0-48AEC4DDEFC8",NA,NA,NA,NA,NA,NA,NA,NA,"A broadcast e.g. TV/radio/film/podcast (other than news/press)","No",NA,"International","Public/other audiences","'2017'","Featured speaking on radio as part of attendance at European BfN/ENCA conference 'Biodiversity and Health in the Face of Climate Change, sponsored by German Federal Agency for Nature Conservation (BfN) and WHO Regional Office for Europe, Bonn, 27-29th June 2017. My invited plenary presentation was on Linking Landscape Planning and Health - green space and quality of life

Featured prominently on the radio reporting of the event, together with Beate Jessel, BfN president, see attached audiofile. MDR is a big broadcaster in Germany.


MDR-Aktuell, 

29.6.17, 17:52 Uhr

Europ&auml;ische Tagung &quot;Biodiversity, Health and Climate Change&quot;

Wie sich Klimawandel auf die Gesundheit der Menschen auswirkt

Von Detlef Reepen

http://www.mdr.de/mediathek/radio/mdr-aktuell/index.html#

This was also shared across sister public broadcasters in Germany via WDR

http://www1.wdr.de/mediathek/audio/wdr5/wdr5-leonardo-top-themen/audio-europaeische-tagung-in-bonn--gruenflaechen-halten-menschen-gesund-100.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/K037404/1","University of Edinburgh","Edinburgh College of Art","Research Grant","Ward Thompson","Catharine",NA,NA,NA,NA,NA,NA,"Mobility, Mood and Place: a user-centred approach to design of built environments to make mobility easy, enjoyable and meaningful for older people","31/08/2013","29/04/2017",1273656,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K037404/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","3E3E42C4-8B36-476B-8DA0-48AEC4DDEFC8","Edinburgh College of Art","College of Arts, Humanities & Social Sciences"
"NERC","NE/M007650/1","Research Grant","Engagement Activities","University of Edinburgh","Sch of Law","Morgera","Elisa",NA,NA,"Side event at the UN Ocean Conference entitled ""SDGs and the Blue Economy: Investing in Marine Ecosystem Services for Poverty Alleviation""",NA,NA,NA,"http://www.espa.ac.uk/news-blogs/blog/espa-un-ocean-conference","5aa7987687af26.17413233","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=5aa7987687af26.17413233&grantRef=NE%2FM007650%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007650/1","0D55096E-9851-4A26-9B62-D301CF35E37F","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8100DA17-E142-4073-9536-FAE41FB791FB",NA,NA,NA,NA,NA,NA,NA,NA,"Participation in an activity, workshop or similar","No",NA,"International","Policymakers/politicians","'2017'","Researcher Daniela Diz and PI Elisa Morgera organised an ESPA side-event at the SDG 14 Ocean Conference at the UN Headquarters in NY on 7 June 2017. The event was hosted by the Eritrean Mission to the UN in partnership with the International Institute for Environment and Development (IIED), Ecosystem Services for Poverty Alleviation (ESPA) programme, University of Strathclyde's Centre for Environmental Law and Governance (SCELG), Global Ocean Biodiversity Initiative (GOBI), Marine Scotland, and the UK Centre for Environment, Fisheries and Aquaculture Science (Cefas).

The event was chaired by Mr. Amanuel Giorgio (Eritrean Mission to the UN), and included presentations by Essam Yassin Mohamed (IIED) on ecosystem services valuation, David Jonhson (GOBI) on the role of area based management measures for achieving SDG 14, and Daniela Diz on key messages from ESPA fisheries projects for the implementation of SDG 14 and other relevant SDGs. Some of the side event participants included: Alfonso Ascencio-Herrera (Mexico), Legal Counsel and Deputy to the Secretary-General of the International Seabed Authority (ISA); Sandor Mulsow (Chile), Director of ISA's Office of Environmental Management and Mineral Resources; Chapi Mwango, Chief, Contract Management Unit, ISA; Jessica Battle (WWF International), Nebil Said Ibris, Counsellor, Permanent Mission of Eritrea to the UN, Prof. Murray Roberts (University of Edinburgh); a number of researchers from South America, among others.&nbsp;Participants actively engaged in discussions after the presentations.

This side event demonstrated the complex nature of poverty alleviation, especially in light of a changing climate, and how the ecosystem services framework can help identify appropriate conservation and management measures, as well as beneficiaries and the most vulnerable in society, and inform decision-making processes and trade-offs in the context of an ecosystem approach, and how the multiple dimensions of poverty relevant to multiple SDGs have been addressed by ESPA fisheries-related projects. It also shed light on how the ecosystem services framework can bridge biodiversity law and human rights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/M007650/1","University of Edinburgh","Sch of Law","Research Grant","Morgera","Elisa",NA,NA,NA,NA,NA,NA,"Sharing the benefits of sustainable fisheries: from global to local legal approaches to marine ecosystem services for poverty alleviation","31/08/2015","30/08/2016",117190,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007650/1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8100DA17-E142-4073-9536-FAE41FB791FB","School of Law","College of Arts, Humanities & Social Sciences"
"NERC","NE/M007650/1","Research Grant","Engagement Activities","University of Edinburgh","Sch of Law","Morgera","Elisa",NA,NA,"Capacity Building Workshop for Small Island Developing States (SIDS) on biodiversity beyond national jurisdiction",NA,NA,NA,NA,"58ca74313e9aa1.34041188","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=58ca74313e9aa1.34041188&grantRef=NE%2FM007650%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007650/1","0D55096E-9851-4A26-9B62-D301CF35E37F","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8100DA17-E142-4073-9536-FAE41FB791FB",NA,NA,NA,NA,NA,NA,NA,NA,"A formal working group, expert panel or dialogue","No",NA,"International","Policymakers/politicians","'2017'","Marine Benefits project researcher Daniela Diz participated in a workshop convened by the Government of Belgium and UNESCO-IOC (from 7-9 March) on the various aspects of implementing capacity-development and technology transfer, related to the following elements of a new international instrument for the conservation and sustainable use of marine biodiversity beyond national jurisdiction (BBNJ): marine protected areas, environmental impact assessments and marine genetic resources.

The workshop brought together representatives of SIDS with a special interest and expertise in the BBNJ process to substantially discuss capacity-building needs and priorities of SIDS concerning biodiversity and oceans and climate change challenges.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/M007650/1","University of Edinburgh","Sch of Law","Research Grant","Morgera","Elisa",NA,NA,NA,NA,NA,NA,"Sharing the benefits of sustainable fisheries: from global to local legal approaches to marine ecosystem services for poverty alleviation","31/08/2015","30/08/2016",117190,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007650/1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8100DA17-E142-4073-9536-FAE41FB791FB","School of Law","College of Arts, Humanities & Social Sciences"
"EPSRC","EP/L013681/1","Research Grant","Engagement Activities","University of Edinburgh","Sch of Geosciences","van der Horst","Dan",NA,NA,"Mathematical challenges of managing energy variability in the face of weather and climate variability workshop: ReCoVER-TEDDINET workshop",NA,NA,NA,"https://sites.google.com/site/recoverlwec/activities-and-events/recover-teddinet","58ca5cc4ea79b8.40552809","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=58ca5cc4ea79b8.40552809&grantRef=EP%2FL013681%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/L013681/1","3B571CA0-3AEB-4DED-BD5E-26B412789BF0","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B47C47E7-542F-4303-A215-A76A5096C4DE",NA,NA,NA,NA,NA,NA,NA,NA,"Participation in an activity, workshop or similar","No",NA,"National","Study participants or study members","'2016'","Held in Birmingham in January 2016, this was a joint meeting of two EPSRC funded networks:

ReCoVER: Research on Changes of Variability and Environmental Risk
TEDDINET: Transforming Energy Demand through Digital Innovation NETwork

The aim of the workshop was to explore themes for research that may in the long term help manage the relationship between variability of weather/climate and of water/energy use and create new links for future collaboration between members of two different disciplinary networks. 
the workshop explored some of the shared research challenges that arise from:
- Relations between weather variability and energy demand.
- Relations between weather variability and renewable energy generation.
- Longer-term challenges of climate change on energy generation and demand.
- Developing and using climate forecasts for engineering simulations.
- Linking smart meter patterns of activity to behavioural change.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/L013681/1","University of Edinburgh","Sch of Geosciences","Research Grant","van der Horst","Dan",NA,NA,NA,NA,NA,NA,"TEDDINET: network of (Build)TEDDI projects","31/08/2013","30/07/2018",559981,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/L013681/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B47C47E7-542F-4303-A215-A76A5096C4DE","School of Geosciences","College of Science and Engineering"
"NERC","NE/M007650/1","Research Grant","Engagement Activities","University of Edinburgh","Sch of Law","Morgera","Elisa",NA,NA,"CBD Biodiversity Governance meeting",NA,NA,NA,"http://www.marinebenefits.ed.ac.uk/outreach","58ca6a4155cf82.76483756","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=58ca6a4155cf82.76483756&grantRef=NE%2FM007650%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007650/1","0D55096E-9851-4A26-9B62-D301CF35E37F","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8100DA17-E142-4073-9536-FAE41FB791FB",NA,NA,NA,NA,NA,NA,NA,NA,"A formal working group, expert panel or dialogue","No",NA,"International","Study participants or study members","'2016'","On 1 May, PI Elisa Morgera was invited to participate in the Network Meeting on Rethinking Biodiversity Governance, which convened at margins of CBD subsidiary bodies' meetings in Montreal, Canada. The event was organised by PBL Netherlands Environmental Assessment Agency with a view to identifying ways in which academic research can contribute to international and national policy-making on how biodiversity conservation, restoration and sustainable use can best be achieved. Prof Morgera shared preliminary findings from the MARINE BENEFITS project indicating actual and potential areas for mutual supportiveness between biodiversity governance, human rights and sustainable fisheries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/M007650/1","University of Edinburgh","Sch of Law","Research Grant","Morgera","Elisa",NA,NA,NA,NA,NA,NA,"Sharing the benefits of sustainable fisheries: from global to local legal approaches to marine ecosystem services for poverty alleviation","31/08/2015","30/08/2016",117190,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007650/1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8100DA17-E142-4073-9536-FAE41FB791FB","School of Law","College of Arts, Humanities & Social Sciences"
"EPSRC","EP/K037404/1","Research Grant","Engagement Activities","University of Edinburgh","Edinburgh College of Art","Ward Thompson","Catharine",NA,NA,"Nature-Based Solutions to Climate Change in Urban Areas and their Rural Surroundings, Bonn - Catharine Ward Thompson",NA,NA,NA,"https://www.bfn.de/23056.html","56c3293daf7239.24134981","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=56c3293daf7239.24134981&grantRef=EP%2FK037404%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K037404/1","17B5E480-CC10-417E-9532-7A5136A048F1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","3E3E42C4-8B36-476B-8DA0-48AEC4DDEFC8",NA,NA,NA,NA,NA,NA,NA,NA,"A talk or presentation","No",NA,"International","Policymakers/politicians","'2015'","Nature-based solutions as inclusive spaces: Links to people's health, wellbeing and quality of life, invited plenary presentation by Catharine Ward Thompson for Nature-Based Solutions to Climate Change in Urban Areas and their Rural Surroundings - Linkages between Science, Policy and Practice, organized by the German Federal Agency for Nature Conservation (BfN) and the European Network of Heads of Nature Conservation Agencies (ENCA), Bonn, Germany, 17th - 19th November 2015. c. 180 policy-makers, government, health agency and academic attendees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/K037404/1","University of Edinburgh","Edinburgh College of Art","Research Grant","Ward Thompson","Catharine",NA,NA,NA,NA,NA,NA,"Mobility, Mood and Place: a user-centred approach to design of built environments to make mobility easy, enjoyable and meaningful for older people","31/08/2013","29/04/2017",1273656,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K037404/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","3E3E42C4-8B36-476B-8DA0-48AEC4DDEFC8","Edinburgh College of Art","College of Arts, Humanities & Social Sciences"
"UKRI","MR/T018585/1","Fellowship","Engagement Activities","University of Edinburgh","Sch of Biological Sciences","Hetherington","Alexander","http://orcid.org/0000-0002-1687-818X",NA,"Road to COP26 walking tour. Edinburgh Science Festival",NA,NA,NA,"https://www.youtube.com/watch?v=uGELTbQ8260&t=8s&ab_channel=SchoolofBiologicalSciences%2CTheUniversityofEdinburgh","62175d65ab4940.85318692","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=62175d65ab4940.85318692&grantRef=MR%2FT018585%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/T018585/1","BE03A2BE-FBA3-4628-869C-0E3660EFCA59","5807F429-7BF0-4E42-917E-D4ADF5399E7B","2DB7ED73-8E89-457A-A395-FAC12F929C1A","903A8097-8797-4313-BBEF-8BD400B003E0",NA,NA,NA,NA,NA,NA,NA,NA,"Engagement focused website, blog or social media channel","No",NA,"International","Public/other audiences","'2021'","Video titled &quot;Where did the Carbon in Fossil Fuels come from?&quot; one of the stops on the Road to COP26 walking tour. Edinburgh Science Festival. (https://www.youtube.com/watch?v=uGELTbQ8260&amp;t=8s&amp;ab_channel=SchoolofBiologicalSciences%2CTheUniversityofEdinburgh)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UKRI","MR/T018585/1","University of Edinburgh","Sch of Biological Sciences","Fellowship","Hetherington","Alexander","John","http://orcid.org/0000-0002-1687-818X",NA,NA,NA,NA,"400 Million Years of Food Transport in Plants: unearthing the origin, diversity and genetic toolkit of vasculature","04/10/2020","03/10/2024",1088936,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/T018585/1","5807F429-7BF0-4E42-917E-D4ADF5399E7B","2DB7ED73-8E89-457A-A395-FAC12F929C1A","903A8097-8797-4313-BBEF-8BD400B003E0","School of Biological Sciences","College of Science and Engineering"
"NERC","NE/K009028/2","Fellowship","Engagement Activities","University of Edinburgh","School of Geosciences","Hennige","Sebastian",NA,NA,"Impacts of Ocean Acidification on deep sea corals",NA,NA,NA,NA,"6231fdeb89e994.32180654","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=6231fdeb89e994.32180654&grantRef=NE%2FK009028%2F2","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K009028/2","C647F054-DD31-4676-BC53-C71D81FF2C50","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B22C6DE9-20EC-4ADE-855B-EDE7B7207721",NA,NA,NA,NA,NA,NA,NA,NA,"A formal working group, expert panel or dialogue","No",NA,"International","Policymakers/politicians","'2021'","Event at COP26 in the Cryosphere tent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/K009028/2","University of Edinburgh","School of Geosciences","Fellowship","Hennige","Sebastian",NA,NA,NA,NA,NA,NA,"Coral pH regulation and climate change: using novel tissue cultures to assess the future of key habitat forming species","17/10/2016","16/10/2018",237683,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K009028/2","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B22C6DE9-20EC-4ADE-855B-EDE7B7207721","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/K000446/1","Research Grant","Engagement Activities","University of Edinburgh","Sch of Engineering","Gibbins","Jonathan",NA,NA,"13th session of the Group of Experts on Cleaner Electricity Production from Fossil Fuels, Jon Gibbins, University of Sheffield",NA,NA,NA,"https://www.unece.org/index.php?id=45363","5a95745313d9c1.68370463","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=dissemination&outcomeId=5a95745313d9c1.68370463&grantRef=EP%2FK000446%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K000446/1","DAD8D8F7-42C8-4BDC-8AFA-1F77CC7433B2","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","2DA15EF0-6300-4D75-BF93-17D7432E6AD4",NA,NA,NA,NA,NA,NA,NA,NA,"A talk or presentation","No",NA,"International","Policymakers/politicians","'2017'","Jon Gibbins spoke at the UNECE - 13th session of the Group of Experts on Cleaner Electricity Production from Fossil Fuels. The session organised by Prof Gibbins helped to maintain awareness of CCS in this important international energy forum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/K000446/1","University of Edinburgh","Sch of Engineering","Research Grant","Gibbins","Jonathan",NA,NA,NA,NA,NA,NA,"UKCCSRC - The United Kingdom Carbon Capture and Storage Research Centre","31/03/2012","31/12/2015",10127951,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K000446/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","2DA15EF0-6300-4D75-BF93-17D7432E6AD4","School of Engineering","College of Science and Engineering"
