"Academic.Year","Application.Date","Status","Project_ID","Project.Title","Project.Description","College","School","Sponsor.Type","Sponsor.Name","Country","Scheme.Name","PI.Name","PI.Dept","Click.here.for.Project","PropAcctNo","Application.Total","Direct_Cost","Indirect_Cost","Exceptions","Application.Funder.Contribution","Funder_Award_Reference","Collaboration.with.Other.Schools.","Lead.Organisation","Name_of_Call","Centre","ODA","GCRF","ISCF","Translational","Possible.GCRF.ODA","NHS_Involvement","NHS_Reference","Application.Period.Start","Application.Period.End","RFS","Business.Development.Executive","CoI_1","CoI_2","CoI_3","CoI_4","CoI_5","CoI_6","Partners.Detail","Core.Grant.","AI.Text.Flag.or.DDI.Tag","Tags...General","Tags...Research.Centres"
2016,2016-12-15,"Unsuccessful","2726170","recognizing subtypes for advancing research of treatments",NA,"CMVM","Deanery of Clinical Sciences","EU - Government","european commission","BELGIUM","horizon 2020 - health, demographic change and wellbeing","Heather Whalley","CTR FOR CLINICAL BRAIN SCIENCE","https://ed-rmas.worktribe.com/record.jx?recordid=2726170",NA,89653.8,"71723.04","17930.76",NA,"89653.80",NA,"NO","University of Edinburgh","H2020-SC1-2016-2017 (Personalised Medicine)","CCBS",NA,NA,NA,NA,"NoFlag","No",NA,2017-01-01,2019-12-31,"Laura Oliver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","Centre for Clinical Brain Sciences"
2016,2016-12-15,"Unsuccessful","3912008","the knust campus drawings conservation project – preserving and recording west african modernism","This application is to request for funds to enable the KNUST historic campus drawings be digitized, and a set of oral histories be recorded from those who were involved in their production and subsequent campus design in the 1950s-60s. These pilot records; would be made available to local researchers in Africa and
internationally (through the BL website), whilst the material artefacts would be preserved and placed with the KNUST University Archive. The application would also include funding for the training of a KNUST librarian/archivist in the handling and preservation of historic drawings and other artefacts related to the collection.","CAHSS","Edinburgh College of Art","UK - Charity","british library","UNITED KINGDOM","general scheme","Ola Uduku","ARCHITECTURE & LANDSCAPE ARCHI","https://ed-rmas.worktribe.com/record.jx?recordid=3912008",NA,8294.56,"8294.56",NA,NA,"8294.56",NA,"NO","University of Edinburgh","Endangered Archives Programme","ECA",NA,NA,NA,NA,"NoFlag","No",NA,2017-05-01,2018-04-30,"Anna Votsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2016,2016-12-14,"Unsuccessful","3883248","architecture and homecoming: can architecture support transitions out of homelessness?","Accommodation' is not tantamount to 'home'. As 'home' is an active moment in creating individual and social identities (Short 1999), offering a stable home rather than temporary accommodation has been defended as the most successful way to end the ""degrading and dehumanising"" experience of homelessness (BBC 2016, The Guardian 2016). As recently presented at the Scottish Churches Housing Action event (BBC Scotland 2016), policies aimed at reducing homelessness, rather than managing it, should offer homeless people a place that they can call home, as in the Housing First model. However, current research highlights that evidence on how accommodation for transitions can help homeless people rebuild their social identity and help stabilise ontological security is yet limited and inconclusive (Quilgars and Pleace 2016). This project will assess how architecture can support transitions out of homelessness or homecoming by applying a novel cross-disciplinary methodology that we have developed from interpretative phenomenological analysis (IPA) and architectural methods and combines theory-driven explorations from architecture with those of the social sciences. Our novel approach follows a philosophical reading of homelessness as lacking a sense of belonging, and with it a sound sense of identity, together with a sense of estrangement and loneliness. As the accommodation offered to single homeless individuals plays a key role in successful homecoming, our inter-disciplinary team (architect, sociologist, psychotherapist) will examine how single homeless people re-build their self and social identities in place in order to belong to mainstream housed society. The proposed research takes the following theoretical assumptions:
a)	Homecoming equals the philosophical state of belonging, meaning and purpose.
b)	Architecture enables belonging through place-making.
c)	The ontological passage from homelessness to homecoming involves negotiating estrangement (Strand A), stigma (Strand B) and loneliness (Strand C) in place.

The research identifies three interlinked strands that frame the over-arching research question on architecture supporting transitions: from estrangement to dwelling (A), from stigma to a sound sense of self-identity (B) and from loneliness to a new social-identity (C). By means of a novel in-depth longitudinal elicitation of how single homeless participants in transition negotiate estrangement, stigma and loneliness in place, the proposed research will bring forth the role of architecture supporting homecoming and inform architectural theories of place-making. Dissemination beyond the research community will share the novel multifaceted account of transitions in place through a dedicated project experiential exhibition and symposium titled 'Architecture and homecoming'","CAHSS","School of Health in Social Science","UK - Research Council","arts and humanities research council","UNITED KINGDOM","research grant - standard","Jonathan Wyatt","COUNSELLING,PSYCHOTHERAPY &ASS","https://ed-rmas.worktribe.com/record.jx?recordid=3883248",NA,229362.43,"136858.74","92503.70",NA,"183489.95",NA,"NO","University of Northumbria",NA,"HiSS",NA,NA,NA,NA,"NoFlag","No",NA,2017-10-01,2020-09-30,"Craig Landt",NA,NA,NA,NA,NA,NA,NA,"University of Northumbria,Lead,HEI,UNITED KINGDOM",NA,NA,"-",NA
2016,2016-12-09,"Unsuccessful","3903427","recovering metals from e-waste using simple reagents: a mode of action study",NA,"CSE","School of Chemistry","UK - Research Council","engineering and physical sciences research council","UNITED KINGDOM","standard","Carole Morrison","CHEMISTRY","https://ed-rmas.worktribe.com/record.jx?recordid=3903427",NA,867638.41,"622385.49","245252.94",NA,"694110.73",NA,"NO","University of Edinburgh",NA,"CHE",NA,NA,NA,NA,"NoFlag","No",NA,2017-04-01,2020-03-31,"Barry Turner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2016,2016-12-07,"Successful","3847631","a uk birth cohort study of temoral trends in the incidence of benign rolandic epilepsy, and the influence of age, gender, and socioeconomic status",NA,"CMVM","Deanery of Clinical Sciences","UK - Charity","waterloo foundation, the","UNITED KINGDOM","general scheme","Richard Chin","CTR FOR REPRODUCTIVE HEALTH","https://ed-rmas.worktribe.com/record.jx?recordid=3847631","R44839 & R44840",43605.08,"43605.08","0.00",NA,"43605.08","707-3025","YES","University of Edinburgh","Rolandic Epilepsy","CRH",NA,NA,NA,NA,"NoFlag","Yes",NA,2017-11-01,2022-07-31,"Fiona Edler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","MRC Centre for Reproductive Health"
2016,2016-12-06,"Unsuccessful","4005417","the role of innate immune cells in the prevention of secondary cell death after brain injury",NA,"CMVM","Deanery of Biomedical Sciences","UK - Charity","academy of medical sciences","UNITED KINGDOM","general scheme","Leah Herrgen","CENTRE FOR NEUROREGENERATION","https://ed-rmas.worktribe.com/record.jx?recordid=4005417",NA,95844.31,"95844.31","0.00",NA,"95844.31",NA,"NO","University of Edinburgh",NA,"CDBS",NA,NA,NA,NA,"NoFlag","No",NA,2017-10-01,2019-09-30,"Laura Oliver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","Centre for Neuroregeneration"
2016,2016-11-22,"Unsuccessful","3809842","the effectiveness of ""walk150"" walking programme to improve physical performance for people with mild/moderate long-term musculoskeletal conditions: a randomised controlled trial with health economic analyses","This research aims to help the 10 million people who have a long lasting musculoskeletal condition (LTMC) (such as back pain, fibromyalgia or osteoarthritis) to improve their ability to do functional activities (such as standing up, walking, balance), to improve the amount of physical activity they do each week and improve their quality of life. Activity guidelines include the advice that adults do at least 150 minutes of moderate activity each week. Moderate activity is exercise that makes someone breathe faster, but not so fast that they can’t hold a conversation. People with LTMCs are more likely to be less active than their peers. People have described this to us as ‘a double hit’ on their lives; they already have a painful and/or, disabling condition and then, by being less active, they are at greater risk than their peers of getting other conditions too (such as heart disease, some cancers, depression, stroke and diabetes). The number of people with LTMCs is rising in line with the aging population and so, in addition to the impact of these conditions on the daily lives of people living with them, this is placing a further financial burden on the already stretched NHS.

“Walk150” is a walking programme (website and podcasts) to help people with LTMCs and low levels of physical activity to gradually and safely increase their activity. By the end of the programme, people walk 150 minutes per week (at moderate/vigorous levels of activity). We have already worked with people with LTMCs to develop the ‘Walk 150’ programme which consists of individual physiotherapy assessments backed up by on-line information and podcasts.  A pilot study found that it is well liked by people with LTMCs and that it may be producing worthwhile increases in physical performance and levels of physical activity. We are now proposing a larger study to find out if out if the programme has worthwhile sustained long term effects on physical function and activity in this group. We will measure how far (in metres) people can walk during a 6 Minute Walking test; this tells us about how quickly someone can walk, about their endurance, about their trunk and leg muscle strength, about their balance and their quality of life. We will also measure how many steps people walk a day and the effect of “Walk150” on symptoms (pain, fatigue), quality of life, the amount and type of physical activity people are doing, their mood and happiness and the cost effectiveness of the “Walk150” programme.

We will do these measures when people join the study, and at 3 and 12 months to see how people do over time. People with a LTMC will be on the project management team. If “Walk150” is effective we will produce a downloadable package, with training materials and podcasts, so that the programme becomes available for free use by others within and outside the NHS. We will publish the results in freely downloadable respected medical journals, our website and send our press releases to charities and magazines. It is our hope that “Walk150” will help both people living with LTMCs to become able to be more active and help the NHS to effectively treat this growing number of patients in a cost- effective way in the future.","CAHSS","Moray House Education and Sport","UK - Government","national institute for health research","UNITED KINGDOM","public health research (phr)","Paul Kelly","INST SPORT PHYSICAL EDUC HEALT","https://ed-rmas.worktribe.com/record.jx?recordid=3809842",NA,37149.62,"27460.49","9689.12",NA,"29719.69",NA,"NO","Oxford University Hospitals NHS Foundation Trust",NA,"MHSES",NA,NA,NA,NA,"NoFlag","No",NA,2017-09-01,2020-08-31,"Craig Landt",NA,NA,NA,NA,NA,NA,NA,"Oxford University Hospitals NHS Foundation Trust,Lead,Charity,UNITED KINGDOM",NA,NA,"-",NA
2016,2016-11-21,"Unsuccessful","3901867","discovering hidden knowledge in audio and video recordings","The key challenges of this proposal are that speech transcripts do not contain structurally formed sentences or case distinction and their quality can be poor. Even the most advanced ASR systems produce transcripts with some degree of error. My proposed research will evaluate how ASR quality affects analytics performance and will investigate methods of post-correction. The iterative development of the analytics tool will be interspersed with regular evaluation phases to test performance. I will primarily process news AV collections provided by the BBC and the British Library. Later on in the fellowship I will conduct a domain adaptation phase to apply the technology to a different type of collection (medical or oral history).","CSE","School of Informatics","UK - Government","royal society","UNITED KINGDOM","dorothy hodgkin fellowship","Bea Alex","SCHOOL OF INFORMATICS","https://ed-rmas.worktribe.com/record.jx?recordid=3901867",NA,557626,"376761.00","180865.00",NA,"454973.60","DH160141","NO","University of Edinburgh","Dorothy Hodgkin Fellowship - 2017","INF",NA,NA,NA,NA,"NoFlag","No",NA,2017-10-01,2022-09-30,"Asad Nazir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","Institute for Language, Cognition & Computation"
2016,2016-11-16,"Successful","3846582","recovering value from waste agricultural plastics from the scottish vegetable and soft fruit industry.",NA,"CSE","School of GeoSciences","UK - Government","scottish funding council","UNITED KINGDOM","general scheme","Ondrej Masek","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=3846582","R44593",17727,"17727.00","0.00",NA,"17727.00","n/a","NO","Edinburgh Napier University",NA,"GEO",NA,NA,NA,NA,"NoFlag","No",NA,2016-09-01,2017-06-30,"Gordon Marshall",NA,NA,NA,NA,NA,NA,NA,"Edinburgh Napier University,Lead,HEI,UNITED KINGDOM",NA,NA,"-",NA
2016,2016-11-11,"Successful","3953430","relative influence of environment vs. tree species on forest ecosystem function",NA,"CSE","School of GeoSciences","UK - Charity","leverhulme trust","UNITED KINGDOM","international academic fellowships","Kyle Dexter","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=3953430","R44923",39960,"39960.00","0.00",NA,"39960.00","IAF-2017-030","NO","University of Edinburgh",NA,"GEO",NA,NA,NA,NA,"NoFlag","No",NA,2017-09-01,2018-05-31,"Gordon Marshall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
