"Academic.Year","Application.Date","Status","Project_ID","Project.Title","Project.Description","College","School","Sponsor.Type","Sponsor.Name","Country","Scheme.Name","PI.Name","PI.Dept","Click.here.for.Project","PropAcctNo","Application.Total","Direct_Cost","Indirect_Cost","Exceptions","Application.Funder.Contribution","Funder_Award_Reference","Collaboration.with.Other.Schools.","Lead.Organisation","Name_of_Call","Centre","ODA","GCRF","ISCF","Translational","Possible.GCRF.ODA","NHS_Involvement","NHS_Reference","Application.Period.Start","Application.Period.End","RFS","Business.Development.Executive","CoI_1","CoI_2","CoI_3","CoI_4","CoI_5","CoI_6","Partners.Detail","Core.Grant.","AI.Text.Flag.or.DDI.Tag","Tags...General","Tags...Research.Centres"
2022,2022-10-06,"Pending","12271022","mosaic: joined-up land use strategies tackling climate change and biodiversity loss",NA,"CSE","School of GeoSciences","EU - Government","european commission","BELGIUM","horizon europe - cl 5: climate, energy and mobility","Peter Alexander","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=12271022",NA,225883,"180706.40","45176.60",NA,"225883.00",NA,"NO","University of Edinburgh","HORIZON-CL5-2022-D1-01-03-two-stage","GEO",NA,NA,NA,NA,"NoFlag","No",NA,2023-08-01,2026-07-31,"Hannah Chater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Application Indicative Submitted",NA
2022,2022-09-23,"Pending","13316592","mapping the impacts of climate change on respiratory health in nigeria: towards equitable and cost-effective national and subnational strategies",NA,"CMVM","Deanery of Molecular, Genetic and Population Health Sciences","UK - Research Council","medical research foundation","UNITED KINGDOM","general scheme","Davies Adeloye","CENTRE FOR GLOBAL HEALTH RSRCH","https://ed-rmas.worktribe.com/record.jx?recordid=13316592",NA,296030.95,"278930.96","17100.00",NA,"296030.95",NA,"NO","University of Edinburgh","Impact of Climate  Change on Health","CGH",NA,NA,NA,NA,"NoFlag","No",NA,2023-07-01,2026-06-30,"Hannah Wheeldon",NA,NA,NA,NA,NA,NA,NA,"University of West England,Collaborator,HEI,UNITED KINGDOM|Covenant University,Collaborator,School,NIGERIA|University of Lagos,Collaborator,HEI,NIGERIA|University of Abuja,Collaborator,HEI,NIGERIA",NA,"DDI Tag only","zDDI-Health_Social_Care","The Usher Institute of Population Health Sciences,Centre for Global Health Research"
2021,2022-05-09,"Unsuccessful","11949191","using wastewater as a resource to tackle climate change",NA,"CSE","School of Engineering","UK - Research Council","engineering and physical sciences research council","UNITED KINGDOM","standard","Efthalia Chatzisymeon","INST OF INFRASTRUCTURE & ENVIR","https://ed-rmas.worktribe.com/record.jx?recordid=11949191",NA,249999.7,"154656.57","95343.13",NA,"199999.76","EP/X017710/1","NO","University of Edinburgh","New Horizons","ENG",NA,NA,NA,NA,"NoFlag","No",NA,2022-10-01,2024-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2021,2022-04-22,"Pending","12581280","anticipatory governance and democratic challenges: emerging norms and practices in  climate change mitigation",NA,"CAHSS","School of Social and Political Science","EU - Government","european commission","BELGIUM","horizon europe - cl 2: culture, creativity and inclusive society","Steven Yearley","STIS","https://ed-rmas.worktribe.com/record.jx?recordid=12581280",NA,404524.35,"323619.48","80904.87",NA,"404524.35",NA,"YES","Uppsala University","HORIZON-CL2-2022-DEMOCRACY-01","SPS",NA,NA,NA,NA,"NoFlag","No",NA,2023-01-01,2027-12-31,"Elisabetta Spano",NA,"Afshin Mehrpouya, Business School",NA,NA,NA,NA,NA,"Uppsala University,Lead,HEI,SWEDEN",NA,NA,"Application Indicative Submitted",NA
2021,2022-03-10,"Unsuccessful","12502732","changing food-scapes: how climate change alters trophic relationships between diatoms and copepods",NA,"CSE","School of Biological Sciences","UK - Government","royal society","UNITED KINGDOM","newton international fellowship","Sinead Collins","INST OF EVOLUTIONARY BIOLOGY","https://ed-rmas.worktribe.com/record.jx?recordid=12502732",NA,79500,"79500.00","0.00",NA,"79500.00","NIF\R1\221526","NO","University of Edinburgh",NA,"BIO",NA,NA,NA,NA,"ODA","No",NA,2022-10-01,2024-09-30,"Charis Wilson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2021,2022-02-16,"Successful","11588951","mitigating climate change impacts on biodiversity via machine learning powered assessment",NA,"CSE","School of Informatics","Overseas - Industry","future earth international","CANADA","future earth international default scheme","Oisin Mac Aodha","SCHOOL OF INFORMATICS","https://ed-rmas.worktribe.com/record.jx?recordid=11588951","RB0993",99994.75,"90904.32","9090.43",NA,"99994.75","32","NO","University of Edinburgh",NA,"INF",NA,NA,NA,NA,"NoFlag","No",NA,2022-04-11,2023-04-01,"Hannah Chater",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AI Text Flag","-","Institute for Adaptive & Neural Computation"
2021,2022-01-18,"Pending","11937242","is phenology evolving in response to climate change?",NA,"CSE","School of Biological Sciences","UK - Research Council","natural environment research council","UNITED KINGDOM","standard grant","Josephine Pemberton","INST OF EVOLUTIONARY BIOLOGY","https://ed-rmas.worktribe.com/record.jx?recordid=11937242",NA,709944.8,"538531.30","171413.50",NA,"571555.84","NE/X000346/1","NO","University of Edinburgh",NA,"BIO",NA,NA,NA,NA,"NoFlag","No",NA,2022-09-01,2025-12-31,"Laura Bonsall",NA,"Loeske Kruuk, School of Biological Sciences",NA,NA,NA,NA,NA,"University of St Andrews,Collaborator,HEI,UNITED KINGDOM|University of Sheffield,Collaborator,HEI,UNITED KINGDOM|Moredun Research Institute,Collaborator,Industry,UNITED KINGDOM",NA,NA,"Award Indicative Successful",NA
2021,2021-12-07,"Pending","11905596","taking an aesthetic stance in climate change adaptation: how people, communities and societies use stories in ethical decision-making and social transformation",NA,"CAHSS","School of Health in Social Science","Overseas - Other","university of toronto","CANADA","general scheme","Alette Willis","COUNSELLING,PSYCHOTHERAPY &ASS","https://ed-rmas.worktribe.com/record.jx?recordid=11905596",NA,9920,"9920.00","0.00",NA,"9920.00",NA,"NO","University of Edinburgh","Joint Call for Collaborative Projects","HiSS",NA,NA,NA,NA,"NoFlag","No",NA,2022-01-01,2023-12-31,"Hannah Chater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2021,2021-12-02,"Successful","11931108","detection and attribution of climate change and climate sensitivity using paleoclimatic observations  and simulations",NA,"CSE","School of GeoSciences","UK - Government","royal society","UNITED KINGDOM","royal society wolfson fellowship","Gabi Hegerl","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=11931108","R47650",123600,"123600.00","0.00",NA,"123600.00","RSWVF\R1\221018","NO","University of Edinburgh",NA,"GEO",NA,NA,NA,NA,"NoFlag","No",NA,2022-07-01,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Award Indicative Successful",NA
2021,2021-11-11,"Unsuccessful","11193878","project amaulik: exploring seabird-harvester-climate interactions to ensure inuit food security in the face of climate change",NA,"CSE","School of Mathematics","UK - Research Council","natural environment research council","UNITED KINGDOM","standard grant","Ruth King","SCHOOL OF MATHEMATICS","https://ed-rmas.worktribe.com/record.jx?recordid=11193878",NA,55380.57,"42072.87","13307.70",NA,"44304.46",NA,"NO","University of Edinburgh","Canada Inuit Nunangat United Kingdom Arctic Research Programme","MAT",NA,NA,NA,NA,"NoFlag","No",NA,2022-04-01,2025-03-31,"Fiona King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2021,2021-10-04,"Successful","11563943","mechanism and data dual-driven model for prediction of time-dependent performance of corrosion affected prefabricated concrete structures considering climate change",NA,"CSE","School of Engineering","UK - Government","royal society","UNITED KINGDOM","international exchanges","Yong Lu","INST OF INFRASTRUCTURE & ENVIR","https://ed-rmas.worktribe.com/record.jx?recordid=11563943","R47595",12000,"12000.00","0.00",NA,"12000.00","IEC\NSFC\211454","NO","University of Edinburgh","International Exchanges Scheme –Cost Share Programme 2021","ENG",NA,NA,NA,NA,"NoFlag","No",NA,2022-03-31,2024-03-30,"Abigail Steed",NA,"Hwa Kian Chai, School of Engineering",NA,NA,NA,NA,NA,"Southeast University,Collaborator,HEI,CHINA",NA,NA,"Award Indicative Successful",NA
2021,2021-09-13,"Pending","11274593","co-designing holistic forest-based policy pathways for climate change mitigation",NA,"CSE","School of GeoSciences","UK - Research Council","ukri (formerly rcuk)","UNITED KINGDOM","horizon europe guarantee - ifs","Peter Alexander","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=11274593",NA,136000,"108800.00","27200.00",NA,"136000.00",NA,"NO","University of Edinburgh","Climate sciences and responses (HORIZON-CL5-2021-D1-01)","GEO",NA,NA,NA,NA,"NoFlag","No",NA,2022-09-01,2027-02-28,"Hannah Chater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Award Indicative Successful,P&M Transition - Award Setup",NA
2021,2021-09-10,"Pending","11358210","nature- and systems-based approaches to integrate urban planning, disaster risk management and climate change adaptation in latin american cities","NERC COP26 Adaptation and Resilience Project Scoping Call","CAHSS","Edinburgh College of Art","UK - Research Council","natural environment research council","UNITED KINGDOM","standard grant","Maria Soledad Garcia Ferrari","ARCHITECTURE & LANDSCAPE ARCHI","https://ed-rmas.worktribe.com/record.jx?recordid=11358210",NA,10965,"7638.00","3327.00",NA,"8772.00",NA,"NO","Heriot-Watt University","NERC COP26 Adaptation and Resilience Project Scoping Call","ECA",NA,NA,NA,NA,"NoFlag","No",NA,2021-10-01,2022-03-31,"Emma Giles",NA,NA,NA,NA,NA,NA,NA,"Heriot-Watt University,Lead,HEI,UNITED KINGDOM",NA,NA,"-",NA
2021,2021-08-23,"Successful","11229408","ftma2:breeding for the future: optimising commercial breeding programmes to improve resilience of salmonid aquaculture to climate change",NA,"CMVM","Royal (Dick) School of Veterinary Studies","UK - Research Council","biotechnology and biological sciences research council","UNITED KINGDOM","flexible interchange programme","Ross Houston","ROSLIN INSTITUTE","https://ed-rmas.worktribe.com/record.jx?recordid=11229408","R47149",15710,"15710.00","0.00",NA,"15710.00","11229408(BB/S50791X/1)","NO","University of Edinburgh","Flexible Talent Mobility Award 2018","Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2021-08-01,2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDI Tag only","Roslin ISPG 17/22 – Programme 2,Roslin ISPG 17/22 - N/A,DDI Hub - AgriTech Hub (Easter Bush)","The Roslin Institute"
2020,2021-06-15,"Successful","10940500","centre of expertise on climate change 2022 to 2025",NA,"CSE","School of GeoSciences","UK - Government","scottish government","UNITED KINGDOM","general scheme","Dave Reay","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=10940500","RA6024",8385724.85,"8271986.89","113737.97",NA,"8385724.85","Case/53465","NO","University of Edinburgh",NA,"GEO",NA,NA,NA,NA,"NoFlag","No",NA,2022-04-01,2025-03-31,"Ina Lindsay",NA,NA,NA,NA,NA,NA,NA,"University of Strathclyde,Collaborator,HEI,UNITED KINGDOM|University of Aberdeen,Collaborator,HEI,UNITED KINGDOM|James Hutton Institute LBG, The,Collaborator,Industry,UNITED KINGDOM",NA,NA,"Award Indicative Successful",NA
2020,2021-06-02,"Pending","10909365","city responses to climate change and migration",NA,"CAHSS","Edinburgh College of Art","UK - Research Council","british academy","UNITED KINGDOM","ba/leverhulme small research grants","Aidan Mosselson","ARCHITECTURE & LANDSCAPE ARCHI","https://ed-rmas.worktribe.com/record.jx?recordid=10909365",NA,10000,"10000.00","0.00",NA,"10000.00","SRG21\210891","NO","University of Edinburgh","BA/Leverhulme Small Research Grants","ECA",NA,NA,NA,NA,"NoFlag","No",NA,2022-03-31,2024-03-30,"Emma Giles",NA,NA,NA,NA,NA,NA,NA,"University of Oxford,Collaborator,HEI,UNITED KINGDOM",NA,NA,"-",NA
2020,2021-03-29,"Pending","10686604","climate change adaptation strategies for a prosperous society",NA,"CMVM","Royal (Dick) School of Veterinary Studies","Overseas - Other","new zealand ministry of business, innovation and employment","NEW ZEALAND","new zealand ministry of business, innovation and employment default scheme","Dominic Moran","GLOBAL ACADEMY AGRICULTURE &FS","https://ed-rmas.worktribe.com/record.jx?recordid=10686604",NA,162494.85,"110685.62","51809.23",NA,"162494.85",NA,"NO","Lincoln University NZ",NA,"Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2021-10-01,2026-09-30,NA,NA,NA,NA,NA,NA,NA,NA,"Lincoln University NZ,Lead,HEI,NEW ZEALAND",NA,NA,"Roslin ISPG 17/22 - N/A","Global Academy of Agriculture and Food Security"
2020,2021-03-22,"Unsuccessful","10750416","statistical methodology for identifying causes of damage of trees in german forests for mitigation of climate change effects",NA,"CSE","School of Mathematics","UK - Charity","royal society of edinburgh","UNITED KINGDOM","research grant","Nicole Augustin","SCHOOL OF MATHEMATICS","https://ed-rmas.worktribe.com/record.jx?recordid=10750416",NA,21152.86,"21152.86","0.00",NA,"21152.86",NA,"NO","University of Edinburgh","reboot","MAT",NA,NA,NA,NA,"NoFlag","No",NA,2021-06-01,2021-11-30,"Fiona King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2020,2021-01-21,"Successful","10650699","development of thin film composite membranes for the capture of greenhouse gases against climate change",NA,"CSE","School of Engineering","UK - Charity","royal society of edinburgh","UNITED KINGDOM","joint project","Maria-Chiara Ferrari","INSTI OF MATERIALS & PROCESSES","https://ed-rmas.worktribe.com/record.jx?recordid=10650699","R47105",6000,"6000.00","0.00",NA,"6000.00","10650699","NO","University of Edinburgh","Joint Projects with National Research Council of Italy (CNR)","ENG",NA,NA,NA,NA,"NoFlag","No",NA,2021-04-01,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDI Tag only","Award Indicative Successful,DDI Hub - AgriTech Hub (Easter Bush)",NA
2020,2021-01-11,"Successful","10404406","application of genomic tools to breed for robustness to climate change in salmon aquaculture",NA,"CMVM","Royal (Dick) School of Veterinary Studies","UK - Research Council","biotechnology and biological sciences research council","UNITED KINGDOM","impact acceleration account","Smaragda Tsairidou","ROSLIN INSTITUTE","https://ed-rmas.worktribe.com/record.jx?recordid=10404406","R46828 linked to R45393",53185.75,"37341.69","15844.06",NA,"29957.59","BBSRC IAA PIII088","NO","University of Edinburgh",NA,"Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2021-02-01,2022-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDI Tag only","Roslin - Programme 1,Roslin - Programme 2,Roslin ISPG 17/22 – Programme 3,DDI Hub - AgriTech Hub (Easter Bush)",NA
2020,2020-12-09,"Pending","10489804","selective breeding for robustness to climate change in atlantic salmon using genomic tools",NA,"CMVM","Royal (Dick) School of Veterinary Studies","UK - Industry","the scottish aquaculture innovation centre","UNITED KINGDOM","research grant","Ross Houston","ROSLIN INSTITUTE","https://ed-rmas.worktribe.com/record.jx?recordid=10489804",NA,244901.91,"166696.88","78205.04",NA,"195921.53",NA,"NO","University of Edinburgh","Timed Funding call","Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2021-02-01,2023-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roslin ISPG 17/22 – Programme 2,Roslin ISPG 17/22 – Programme 3",NA
2020,2020-11-23,"Successful","10195948","reducing meat intake to prevent climate change and non-communicable diseases",NA,"CMVM","Royal (Dick) School of Veterinary Studies","UK - Charity","wellcome trust (rcl)","UNITED KINGDOM","unknown","Lindsay Jaacks","GLOBAL ACADEMY AGRICULTURE &FS","https://ed-rmas.worktribe.com/record.jx?recordid=10195948","R47009",58740.96,"58740.96","0.00",NA,"58740.96","Invoice UNC 5118727","NO","University of North Carolina at Chapel Hill",NA,"Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2020-07-01,2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,"University of North Carolina at Chapel Hill,Lead,HEI,UNITED STATES",NA,"DDI Tag only","Roslin ISPG 17/22 - N/A,DDI Hub - AgriTech Hub (Easter Bush)","Global Academy of Agriculture and Food Security"
2020,2020-09-16,"Unsuccessful","10368120","simulated and observed length of seasons –impact of internal variability and climate change",NA,"CSE","School of GeoSciences","EU - Government","european commission","BELGIUM","horizon 2020 - marie sk_odowska-curie actions","Ruth Doherty","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=10368120",NA,179947.01,"170667.01","9280.00",NA,"179947.01","101028345","NO","University of Edinburgh","MSCA IF","GEO",NA,NA,NA,NA,"NoFlag","No",NA,2021-05-01,2023-04-30,"Karen Sooy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2020,2020-09-09,"Unsuccessful","10284782","predict: increasing the reliability of predictions of population dynamics in response to climate change",NA,"CSE","School of Biological Sciences","EU - Government","european commission","BELGIUM","horizon 2020 - marie sk_odowska-curie actions","Ally Phillimore","SCHOOL OF BIOLOGICAL SCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=10284782",NA,170347.01,"161067.01","9280.00",NA,"170347.01","101028631","NO","University of Edinburgh","H2020-MSCA-IF-2020","BIO",NA,NA,NA,NA,"NoFlag","No",NA,2021-03-01,2023-02-28,"Caroline Barbour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2020,2020-09-02,"Successful","10339810","the data slipstream project: advanced data systems to deliver timely information on climate change mitigation and adaptation from earth observation","TBA","CSE","School of GeoSciences","UK - Government","uk space agency","UNITED KINGDOM","general scheme","Mathew Williams","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=10339810","RA5283(School of Geosciences), RA5284(Engineering), RA5285(EPCC)",273172.13,"194022.05","79150.09",NA,"214537.70","NSIP20_N17","YES","University of Edinburgh","National Space Innovation Programme (NSIP)","GEO",NA,NA,NA,NA,"NoFlag","No",NA,2020-11-02,2021-03-31,"Charis Wilson",NA,"Edward Mitchard, School of GeoSciences","Davy Virdee, EPCC","Murray Collins, School of GeoSciences","Encarni Medina-Lopez, School of Engineering",NA,NA,"Resilience Constellation Management Ltd,Subawardee,Industry,UNITED KINGDOM",NA,"DDI Tag only","DDI Hub - Bayes Centre",NA
2020,2020-09-02,"Unsuccessful","10314871","solstice: simulated and observed length of seasons –impact of internal variability and climate change",NA,"CSE","School of GeoSciences","UK - Government","royal society","UNITED KINGDOM","early career/university research fellowship","Shipra Jain","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=10314871",NA,699514.91,"461084.91","238430.00",NA,"571011.93",NA,"NO","University of Edinburgh","University Research Fellowship","GEO",NA,NA,NA,NA,"NoFlag","No",NA,2021-10-01,2026-09-30,"Charis Wilson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2020,2020-08-06,"Successful","9734201","the health and equity impacts of climate change mitigation measures on indoor and outdoor air pollution exposure (heiccam)","TBA","CSE","School of GeoSciences","UK - Research Council","natural environment research council","UNITED KINGDOM","unknown","Ruth Doherty",NA,"https://ed-rmas.worktribe.com/record.jx?recordid=9734201","RA5174",624879.01,"455157.41","169721.60",NA,"499903.21","NE/V002090/1","NO","University of Edinburgh",NA,"GEO",NA,NA,NA,NA,"NoFlag","No",NA,2020-09-01,2023-08-31,"Charis Wilson",NA,NA,NA,NA,NA,NA,NA,"University College London,Collaborator,HEI,UNITED KINGDOM|University of Birmingham,Collaborator,HEI,UNITED KINGDOM|London School of Hygiene and Tropical Med,Collaborator,Industry,UNITED KINGDOM|University of East Anglia,Collaborator,HEI,UNITED KINGDOM|Oxford Brookes University,Collaborator,HEI,UNITED KINGDOM|University of York,Collaborator,HEI,UNITED KINGDOM|Cranfield University,Collaborator,HEI,UNITED KINGDOM|University of Lancaster,Collaborator,HEI,UNITED KINGDOM|Public Health England,Collaborator,Government,UNITED KINGDOM",NA,"DDI Tag only","DDI Hub - Bayes Centre",NA
2019,2020-06-11,"Unsuccessful","9934685","breeding for the future: improving robustness of salmonid aquaculture to climate change",NA,"CMVM","Royal (Dick) School of Veterinary Studies","UK - Research Council","biotechnology and biological sciences research council","UNITED KINGDOM","fellowship","Smaragda Tsairidou","ROSLIN INSTITUTE","https://ed-rmas.worktribe.com/record.jx?recordid=9934685",NA,374949.06,"231891.06","143058.00",NA,"299959.25","BB/V005324/1","NO","University of Edinburgh","BBSRC Discovery Fellowships","Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2021-03-01,2024-02-29,"Hannah Wheeldon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roslin ISPG 17/22 – Programme 1,Roslin ISPG 17/22 – Programme 2,Roslin ISPG 17/22 – Programme 3,Application Indicative Submitted","The Roslin Institute"
2019,2020-06-09,"Unsuccessful","10097175","climate change and migration as vectors of conflict in sub-saharan african cities: exploring intersections, coping strategies and governance responses",NA,"CAHSS","Edinburgh College of Art","UK - Research Council","arts and humanities research council","UNITED KINGDOM","global challenges research fund","Aidan Mosselson","ARCHITECTURE & LANDSCAPE ARCHI","https://ed-rmas.worktribe.com/record.jx?recordid=10097175",NA,163371.88,"59311.32","20368.96","83691.60","147435.83","AH/V00767X/1","NO","University of Edinburgh","GCRF 'Conflict Intersections' Global Partnership Development Awards: Prevention and Resilience at the Intersections between Conflict, Fragility and Wider Development Challenges and Risks","ECA","Pre Award - Official Development Assistance","Pre Award - Global Challenges Research Fund",NA,NA,"GCRF","No",NA,2021-01-01,2022-12-31,"Emma Giles",NA,NA,NA,NA,NA,NA,NA,"University of Manchester,Collaborator,HEI,UNITED KINGDOM|University of Cape Town,Collaborator,HEI,SOUTH AFRICA|University of Dar es Salaam,Collaborator,HEI,TANZANIA, UNITED REPUBLIC OF|University of the Witwatersrand,Collaborator,HEI,SOUTH AFRICA|Kisii University,Collaborator,HEI,KENYA|Sierra Leone Urban Research Centre (SLURC),Collaborator,HEI,SIERRA LEONE",NA,NA,"Pre Award - Official Development Assistance,Pre Award - Global Challenges Research Fund",NA
2019,2020-05-07,"Pending","10011892","how do climate change shocks propagate through the global macroeconomy?",NA,"CAHSS","Business School","Overseas - Charities","climateworks foundation","UNITED STATES","climateworks foundation default scheme","Luca Taschini","BUSINESS SCHOOL","https://ed-rmas.worktribe.com/record.jx?recordid=10011892",NA,14285.73,"14285.73","0.00",NA,"14285.73",NA,"NO","University of Duisburg-Essen (Universitaet Duisburg Essen)","Inspire","BUSINESS",NA,NA,NA,NA,"NoFlag","No",NA,2020-09-01,2021-08-31,"Karen Sooy",NA,NA,NA,NA,NA,NA,NA,"University of Duisburg-Essen (Universitaet Duisburg Essen),Lead,HEI,GERMANY|London School of Economics and Political Science,Collaborator,Industry,UNITED KINGDOM",NA,NA,"-",NA
2019,2020-04-17,"Successful","9485423","impacts assessments to support water resources management and climate change adaption for china","TBA","CSE","School of GeoSciences","UK - Government","met office","UNITED KINGDOM","general scheme","Daniel Goldberg","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=9485423","RA5124",56017.83,"37969.82","18048.01",NA,"44814.26","R208423 - Edinburgh","NO","University of Edinburgh",NA,"GEO",NA,NA,NA,NA,"NoFlag","No",NA,2020-04-01,2021-06-30,"Charis Wilson",NA,NA,NA,NA,NA,NA,NA,"University of East Anglia,Lead,HEI,UNITED KINGDOM|University of Sussex,Collaborator,HEI,UNITED KINGDOM|University of Exeter,Collaborator,HEI,UNITED KINGDOM",NA,"DDI Tag only","Award Indicative Successful,DDI Hub - AgriTech Hub (Easter Bush)",NA
2019,2020-02-28,"Successful","9797887","quaker activism: the role of shared practice in action on climate change",NA,"CAHSS","School of Divinity","UK - Charity","leverhulme trust","UNITED KINGDOM","early career fellowships","Claire Wanless","SCHOOL OF DIVINITY","https://ed-rmas.worktribe.com/record.jx?recordid=9797887","R46672",93000,"93000.00","0.00",NA,"93000.00","ECF-2020-062","NO","University of Edinburgh","Early Career Fellowships 2020","DIVINITY",NA,NA,NA,NA,"NoFlag","No",NA,2020-09-01,2023-08-31,"Anna Votsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Award Indicative Successful,External Applicant",NA
2019,2020-01-15,"Successful","7592919","understanding the resilience of wild birds to climate change: seasonal genomics of the annual migratory breeding cycle",NA,"CMVM","Royal (Dick) School of Veterinary Studies","UK - Research Council","biotechnology and biological sciences research council","UNITED KINGDOM","responsive mode","Jacqueline Smith","ROSLIN INSTITUTE","https://ed-rmas.worktribe.com/record.jx?recordid=7592919","RA5317",718121.55,"558446.55","159675.00",NA,"574497.24","BB/V001647/1","NO","University of Edinburgh",NA,"Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2021-06-25,2024-06-24,"Hannah Wheeldon",NA,"Simone Meddle, Royal (Dick) School of Veterinary Studies",NA,NA,NA,NA,NA,NA,NA,"DDI Tag only","Roslin ISPG 17/22 – Programme 3,Award Indicative Successful,DDI Hub - AgriTech Hub (Easter Bush)","The Roslin Institute"
2019,2019-10-23,"Unsuccessful","9195267","strategising for sustainability: combating climate change in partnership with indigenous communities in kiribati and samoa","In 2018, the Presidencies of COP 23/24 launched the Talanoa Dialogue Platform as a strategy for combating climate change, taking their cue from the indigenous Pacific tradition of talanoa: a process of inclusive, participatory and transparent dialogue, to enable decision-making for the collective good. This project uses talanoa methods to engage/empower indigenous communities in Kiribati and Samoa, both of which are experiencing increasingly severe climate change impacts. The project will include a series of workshops involving the sharing of indigenous narratives of environmental change and aspirations for future resilience/adaptation, to inform (i) the production of an environmental strategy game (and accompanying
website/resources) to be used as community education tools; and (ii) reports on health and environmental impacts of climate change to be used to guide resilience and restoration initiatives. All activities and outputs will be co-produced and transdisciplinary in design and execution, integrating knowledge across indigenous and academic communities.","CAHSS","School of Literatures, Languages & Culture","UK - Research Council","british academy","UNITED KINGDOM","knowledge frontiers: international interdisciplinary research projects","Michelle Keown","ENGLISH LITERATURE","https://ed-rmas.worktribe.com/record.jx?recordid=9195267",NA,199999.63,"163759.72","36239.91",NA,"199999.63","KF400213","YES","University of Edinburgh",NA,"LLC",NA,NA,NA,NA,"NoFlag","No",NA,2020-04-01,2022-03-31,"Boleslaw Czarnecki",NA,"Meriwether Wilson, School of GeoSciences",NA,NA,NA,NA,NA,"University of Otago,Collaborator,HEI,NEW ZEALAND",NA,NA,"-",NA
2019,2019-09-27,"Successful","9361822","climate change policies for people: implementing co-developed water governance and security in the upper atoyac river basin, puebla","Climate change is increasing the need for water governance measures in drought-prone areas. Our previous Newton project focused on understanding the diverse effects of climate change co-developing mitigation and adaptation strategies with local communities (including residents, government institutions and civic organisations) in Puebla. A major priority articulated by these communities was the urgent need for water security and improved water governance. The proposed project aims to deliver impact based on the insights generated by the previous research in the Upper Atoyac River Basin (UATB) by conducting a broader range of stakeholder consultations to co-develop, test, and implement policies for improved water security. We now focus on the whole basin, involving a wider range of data to enable long-term water security that will result in better-managed and more sustainable water resources for the entire basin. Outputs from this work will be transferable to many Global South contexts, where impacts of climate change are increasing human vulnerability in rural and rapidly urbanising communities.","CAHSS","Edinburgh College of Art","UK - Government","the british council","UNITED KINGDOM","newton funds","Maria Soledad Garcia Ferrari","ARCHITECTURE & LANDSCAPE ARCHI","https://ed-rmas.worktribe.com/record.jx?recordid=9361822","RA5072(Edinburgh College of Art), RA5073(Business School)",124992.19,"89373.07","35619.12",NA,"99993.75","541119265","YES","University of Edinburgh","Newton Fund Impact Scheme","ECA","Pre Award - Official Development Assistance",NA,NA,NA,"ODA","No",NA,2020-03-23,2023-03-31,"Emma Giles",NA,"Kathi Kaesehage, Business School",NA,NA,NA,NA,NA,"Ibero-American University Puebla (Universidad Iberoamericana Puebla),Collaborator,HEI,MEXICO",NA,"DDI Tag only","Pre Award - Official Development Assistance,DDI Hub - Edinburgh Futures Institute (EFI)",NA
